"LOJA";"TIPO_CLIENTE";"COMENTARIO";"CATEGORIA_MODELO";"CATEGORIA_ANOTADOR_1";"CATEGORIA_ANOTADOR_2";"OBSERVACOES"
"L5141-ALTO TAQUARAL";"neutro";"Melhora no preço";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5268-TIBURCIO";"promotor";"Nada há a acrescentar.";"atendimento";"outros";"outros";""
"L5184-PRACA VARNHAGEM";"neutro";"Melhorando os preços";"atendimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5241-ITAPEVI";"detrator";"Maior responsabilidade com o cliente! Entregador não faz a entrega, a empresa não me avisa, tento entrar em contato sou atendido apenas por uma URA que manda retornar a ligação segunda-feira apos as 9h! tenho que cancelar um churrasco em familia e ainda oerguntam sobre ""grau de satisfação""? so pode ser brincadeira ou sacanagem";"entrega_logistica";"entrega_logistica";"entrega_logistica";""
"L5074-VOLUNTARIOS DA PATRIA (1335)";"neutro";"Melhorar no atendimento, passei num caixa sujo, com uma atendente jogando meu pão congelado em cima da sujeira, mal humorada.
A loja estava com 02 atendentes e só uma realmente atendendo no caixa.";"loja_fisica";"atendimento";"atendimento";""
"L5160-GUARATINGUETA";"promotor";"Acho que alguns ítens vêm com muito sal. Por exemplo espetinho de frango e às vezes a kafta. Seria interessante que avaliassem esta questão.";"abastecimento";"produto";"produto";""
"L5093-PERDIZES 2 (1376)";"neutro";"O pedido atrasou mais de 20 minutos, mesmo sendo uma entrega programada";"entrega_logistica";"entrega_logistica";"entrega_logistica";""
"L5160-GUARATINGUETA";"neutro";"Um sistema de cashback ou com descontos melhores para clientes frequentes seria ótimo!";"promocoes_fidelidade";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5188-CAJAMAR";"detrator";"Falta de funcionários,  fazendo faltas o quais já sabiam o que eu procurava na loja, tinha um atendimento humanizado, o atendimento pelo funcionário Eduardo transmitia, gentiliza confiança , em tudo ajudava, agora  os funcionários não conseguem transmitir isso por evidente excesso de trabalho  e capacitação. pensem que sou cliente continua por enquanto e devem preservar.";"loja_fisica";"loja_fisica";"atendimento";""
"L5188-CAJAMAR";"detrator";"Atrasou 6hs, alfumas peças selecionadas fora do padrão. O meu churrasco não poder feito com esta carne, conatrangimento perante os meu falimiares";"produto";"entrega_logistica";"entrega_logistica";""
"L5065-LINS DE VASCONCELOS (1313)";"promotor";"Tudo maravilhoso. Saudades do atendimento do Felipe Silva.";"produto";"atendimento";"atendimento";""
"L5061-BOSQUE MAIA (1304)";"detrator";"Mais uma vez fui na loja Bosque Maia, e algum item não tinha, dessa vez foi a alcatra em bife.";"outros";"abastecimento";"abastecimento";""
"L5086-PORTAL DO MORUMBI (1352)";"promotor";"Atendimento muito bom da Dani ,senti falta da Débora que me atendeu da última vez atendimento nota mil";"loja_fisica";"atendimento";"atendimento";""
"L5220-PLANALTO";"promotor";"Já sou cliente da Swift há algum tempo e sempre fiquei muito satisfeito com os produtos e o atendimento das lojas em São Bernardo do Campo. Eu recomendo a todos!";"loja_fisica";"produto";"atendimento";""
"L5002-ALPHAVILLE (0290)";"neutro";"As compras com Frete Grátis em até 24 horas, é muito incerta, pois tudo dependerá do Cronograma da loja, não existe um rastreamento ou um horário para a entrega, tudo o que sabemos, é que temos que ficar em casa, esperando a compra, pois pode chegar a qualquer momento e o SAC, fica completamente perdido, sobre o que fazer, pois a loja não dá satisfação a eles.";"abastecimento";"entrega_logistica";"entrega_logistica";""
"L5281-OLIVEIRA FREIRE";"promotor";"Melhorando em ofertas e promoções.";"promocoes_fidelidade";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5062-ASSUNCAO (1310)";"neutro";"Falta de preços nos produtos e promoções que induzem o consumidor ao erro.";"loja_fisica";"loja_fisica";"promocoes_fidelidade";""
"L5039-ZELINA (1208)";"neutro";"Parcelar todas as compras";"produto";"outros";"outros";""
"L5202-VILA CAICARA";"promotor";"Para mim, perfeito !";"produto";"outros";"outros";""
"L5113-ANASTACIO";"detrator";"Fiquei Chateada com. O atendimento
Nunca Tem troco, Não fui bem atendida, Sou cliente de muitos anos., Hoje Deixou a desejar.";"atendimento";"atendimento";"atendimento";""
"L5223-CAMPO LIMPO";"detrator";"Em relação a qualidade dos produtos, gostaria de sugerir que na linha de alimentos temperados, não fossem adicionados temperos como glutamato de sódio, dando prioridade a temperos naturais como o sal integral (não refinado), cúrcuma, páprica, pimenta branca, ervas finas como ervas de provence, tomilho e alecrim. 
Além disso, gostaria de salientar que me senti muito constrangida e acoada durante todo o tempo devido a perseguição do segurança da loja, achei a conduta profissional muito intimidativa,  que eu nunca tinha visto em nenhum outro estabelecimento comercial. 
Já a atendente do CAIXA foi de uma atenção, educação e simpatia primoroza. 
";"abastecimento";"atendimento";"produto";""
"L5282-PARQUE OLIMPICO";"promotor";"Muito caro !!! Só entro lá quando não encontro em outros supermercados pela metade do preço ?";"outros";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5161-ITANHAEM";"promotor";"Prezados Senhores, não tenho dado muita sorte na compra dos produtos.Algumas vezes acerto no produto e outras vezes não. Compro sempre picanha e dura parece carne de 2a. Alcatra em bifes a mesma coisa é vem com retalhos.
Outros produtos de excelente qualidade sim.
Muito obrigado.";"abastecimento";"produto";"produto";""
"L5074-VOLUNTARIOS DA PATRIA (1335)";"detrator";"Vocês.estao em um local excelente porém o estacionamento está sempre cheio de veículos dr pessoas que não estão na loja. No último dia precisei dar voltas para achar uma vaga pois só tinham as vagas especiais e não tenho direito a usá-las. A lateral estava com todas as vagas ocupadas e apenas 1 cliente na loja. Lamentável";"promocoes_fidelidade";"loja_fisica";"loja_fisica";""
"L5180-FREI CANECA";"promotor";"Tudo perfeito!! Parabéns swift";"produto";"outros";"outros";""
"L5173-PERUIBE";"neutro";"Dessa ultima compra fui bem atendido pelo rapaz da loja que me orientou em comprar a carne correta, a penúltima vez tinha comprado um Contra filet COMBO e foi horrível, muito duro.
";"produto";"atendimento";"atendimento";""
"L5221-BARUERI (BETHAVILLE)";"detrator";"esperos de carne muito engordurados";"produto";"produto";"produto";""
"L5132-CANTO DO FORTE";"neutro";"Sou cliente antiga dessa loja por morar perto, nunca aconteceu mas o atendimento ontem foi péssimo.";"produto";"atendimento";"atendimento";""
"L5156-JARDIM PRUDENCIA";"promotor";"Loja muito bem Organizada. Funcionários muito bem treinados e comprometidos. Loja muito bem limpa , funcionários com sorriso no rosto. Fui muito bem atendido. Vcs estão de Parabéns!!!";"atendimento";"loja_fisica";"loja_fisica";""
"L5058-JD. BONFIGLIOLI (1291)";"neutro";"Pondo mais produtos igual a loja";"loja_fisica";"abastecimento";"abastecimento";""
"L5103-ATIBAIA (1454)";"detrator";"Era entre 19 e 20 da noite, havia muitos clientes na loja.
Uma fila começa a se formar e apenas 1 caixa aberto, enquanto os outros funcionários abriam caixas e recolocavam produtos nos refrigeradores.

Acredito que tenha faltado um pouco de organização, pois perceberam tarde demais a necessidade de mais um caixa aberto, pelo menos.

";"loja_fisica";"loja_fisica";"atendimento";""
"L5147-ROLAND GARROS";"promotor";"A fila estava grande e ninguém no caixa! Estavam brincando entre eles e o som da loja estava altíssimo, atrapalhando a concentração!";"loja_fisica";"loja_fisica";"atendimento";""
"L5031-PERDIZES (0860)";"neutro";"estacionamento lotado de carros de NÃO usuários da loja, falta de opções exemplo carne moída de 1 Kg, sendo que não é a 1 vez que ocorre, gondola com mistura de produtos, carne e brócolis congelados, diversos produtos não apresentavam os preço nas gondolas, somente no caixa.";"abastecimento";"loja_fisica";"loja_fisica";""
"L5048-SJC ANDROMEDA (1261)";"promotor";"Parabéns a todos !";"atendimento";"outros";"outros";""
"L5017-LEOPOLDINA (0576)";"neutro";"Custo do Frete.";"abastecimento";"entrega_logistica";"entrega_logistica";""
"L5230-LARGO DO MACHADO";"detrator";"Comprei uma picanha fatiada para churrasco,além de outras coisas, para o  dia das mães. Experiência muito ruim. Muito dura. Provavelmente não era picanha. Éramos três famílias. Causou uma péssima impressão. E as outras duas famílias ainda não tinham comprado produtos da Swift por desconfiança da qualidade. Eu fiquei de fazer as compras e desfazer esta impressão negativa. Só reforçou e agora quem ficou “desconfiado” ( não confio como confiava) foi eu.";"produto";"produto";"produto";""
"L5050-SOROCABA W.LUIZ (1273)";"detrator";"Bom dia, alguém p atender";"abastecimento";"outros";"outros";""
"L5268-TIBURCIO";"detrator";"A carne moída tava horrível ta aqui sem fazer nao gostei queria trocar por outra coisa";"abastecimento";"produto";"produto";""
"L5098-AUTONOMISTAS (1405)";"promotor";"Gabriel foi um ótimo atendimento";"promocoes_fidelidade";"atendimento";"atendimento";""
"L5127-SAO ROQUE";"neutro";"Manter com mais regularidade os produtos,";"promocoes_fidelidade";"produto";"produto";""
"L5099-VILA MATILDE (1421)";"promotor";"Nessa última compra .comprei um pernil de cordeiro qualidade péssima 
Sempre compro aí cm muita qualidade 
Mais dessa vez estava horrível";"produto";"produto";"produto";""
"L5035-TREMEMBE (0875)";"promotor";"Buscar acordos com fornecedores para redução de preço para o consumidor 
";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5044-INDAIATUBA (1243)";"detrator";"O app da Swift e o pior que já vi. Lento demais, não mantem o carrinho, coloca produto como disponivel e quando vai encerrar compra diz que ha itens indisponiveis. Pedi para entregar em casa com horario escolhido e veio aviso que foi para retirada em loja .So recebi graças à Swift Resolve. Os apps do Pão de Açucar, Raia, Americanas, são excelentes";"abastecimento";"abastecimento";"entrega_logistica";""
"L5154-RIO CLARO";"promotor";"Não achei o prato feito de tilapia";"produto";"loja_fisica";"abastecimento";""
"L5127-SAO ROQUE";"detrator";"vendedores não souberam  mim explicar";"produto";"atendimento";"atendimento";""
"L5086-PORTAL DO MORUMBI (1352)";"neutro";"Tudo ok la loja, sem promoções e itens com preços acima do mercado. O ponto negativo é pessoas sempre pedindo bem na entrada da loja. Já dei uma vez, quando não quis mais doar, me sinti coajida. Seria bom o segurança intervir.";"atendimento";"loja_fisica";"loja_fisica";""
"L5092-VILA AUGUSTA (1374)";"neutro";"Já procurei outras vezes o bolinho de bacalhau, novamente não encontrei (acho que este deve ter uma boa saída)... rs. Sugiro aumentar o pedido. Fora isto, acho a loja bem diversificada, tem uma gama grande de produtos. Obg.";"produto";"abastecimento";"abastecimento";""
"L5156-JARDIM PRUDENCIA";"promotor";"Ja está ótimo continuem assim";"loja_fisica";"outros";"outros";""
"L5058-JD. BONFIGLIOLI (1291)";"detrator";"Vocês deixam uma pessoa suspeita e inconveniente ficar pedindo na frente da loja. Incomoda muito. O sujeito ainda reclama quando não damos nada, como se fosse obrigação nossa sustentá-lo.";"abastecimento";"loja_fisica";"loja_fisica";""
"L5123-SAO VICENTE";"detrator";"Estacionei o carro e na hora de sair foi colocado um cabo de aço atrás do carro, bati no cabo e parei pois não fui avisado . Meu carro será avaliado. O cidadão que fez isto foi malcriado e evasivo, sou cliente e nada justifica tal atitude. A empresa deve escolher pessoas educadas para falar com seus clientes. Porque colocar um cabo de aço atrás de um carro estacionado, antes que ele saia e sem avisar? Por favor preparem melhor seus funcionários.";"promocoes_fidelidade";"loja_fisica";"loja_fisica";""
"L5016-ANDRADINA (0573)";"neutro";"Separar melhor os produtos quando estão em ofertas como combo, colocam os produtos misturados no mesmo separador do frizer e quando vc vai ao caixa para pagar fica com cara de quem foi enganado pq o preço que está marcado na oferta não é o que vc paga";"abastecimento";"loja_fisica";"promocoes_fidelidade";""
"L5004-CAMPO BELO (0448)";"promotor";"Melhorar o custo benefício ao cliente.";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5165-MOGI DAS CRUZES MOGILAR";"promotor";"Brindes para os clientes";"promocoes_fidelidade";"promocoes_fidelidade";"outros";""
"L5040-GUARULHOS (1211)";"promotor";"Na hora de escolher o tipo de pagamento, principalmente sendo Pix, algumas vezes da um erro inesperado e eu tenho que fazer o carrinho novamente";"promocoes_fidelidade";"outros";"outros";""
"L5090-NORTE SUL (1365)";"detrator";"Qualidade da linguiça toscana fina na ultima compra deixou a desejar. Produto cheio de pedaços de osso.";"produto";"produto";"produto";""
"L5105-DOM PEDRO I (1457)";"neutro";"Preços,  qualidade (carne moída). Som ambiente (péssimo).";"produto";"produto";"produto";""
"L5039-ZELINA (1208)";"promotor";"Super recomendo! Fui super bem atendida.";"atendimento";"atendimento";"atendimento";""
"L5047-SAO BERNARDO (1255)";"neutro";"Os preços praticados no país são altos, somos o maior exportador de carne do mundo, ficamos com as de menor qualidade e ainda pagamos um valor elevado devido a demanda. A carne no Brasil é produzida em real, mas é nos vendida em dólar.";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5145-TAMBORE";"promotor";"Gosto de compra lá loja sempre bem atendido pelas funcionárias bem educadas em destaque agradeço o atendimento da profissional SILENE";"atendimento";"atendimento";"atendimento";""
"L5040-GUARULHOS (1211)";"detrator";"Rapidez no atendimento na hora do pagamento .";"promocoes_fidelidade";"atendimento";"atendimento";""
"L5084-GUAIPA (1349)";"neutro";"achei difícil de  achar os produtos, e não tinha nenhum funcionário disponível, até porque só tinha 1 que precisei solicitar para me ajudar.";"abastecimento";"atendimento";"atendimento";""
"L5077-OSCAR FREIRE (1341)";"detrator";"poucos produtos prontos para comer vários tipos de macarrão estavam em falta , precisa melhorar";"loja_fisica";"produto";"produto";""
"L5069-AGUA RASA (1322)";"detrator";"A picanha estava dura";"produto";"produto";"produto";""
"L5071-BELA VISTA (1326)";"promotor";"No horário que fui estavam organizando, mas estava uma bagunça, não conseguia nem passar no corredor do fundo.
Peguei polvo e estava sem preço.
Outra vez fui na mesma loja e nenhum produto tinha preço.
Sei que tem o momento de reabastecer, mas bem desorganizado lá.";"abastecimento";"loja_fisica";"loja_fisica";""
"L5068-BOSQUE DA SAUDE (1321)";"promotor";"Está ótimo. Parabéns para  a atendente Duda,pelo seu atendimento.";"loja_fisica";"atendimento";"atendimento";""
"L5116-ENSEADA";"neutro";"Não encontrei o mignon em cubo e não havia paella ????! E eu fui até lá para isso. Não encontrei nenhum atendente que pudesse ajudar. Parece que tinha só uma pessoa na loja, por isso estou em dúvida: recomendo ou não?!";"produto";"abastecimento";"produto";""
"L5184-PRACA VARNHAGEM";"promotor";"acho que um pequeno banner em cada geladeira dizendo que produtos se encontram la";"abastecimento";"loja_fisica";"loja_fisica";""
"L5077-OSCAR FREIRE (1341)";"detrator";"Faltam diversis produtos, temperos... tem no site mas nunca na loja e gosto de comprar presencial";"produto";"abastecimento";"abastecimento";""
"L5054-PLANALTO (1279)";"detrator";"Melhorar na emissão da Nota Fiscal (Danfe) e a espera muito demorada para emissão da Nota Fiscal.. Foi pago um valor e na NF vrio outro valor.";"loja_fisica";"outros";"loja_fisica";""
"L5127-SAO ROQUE";"detrator";"Alem de nao ter quase nada na loja, a picanha que peguei veio com nervos e com uma qualidade inferior as demais vezes que comprei.";"abastecimento";"produto";"abastecimento";""
"L5001-RIBEIRAO PRETO (0217)";"detrator";"A bandeja de carne de picanha fizemos e esta dura.";"produto";"produto";"produto";""
"L5101-CIDADE SAO FRANCISCO (1432)";"detrator";"Comprei 4 latas de atum gomes da costa no sabado, promoção da Black, leve quatro pague 3, o desconto dado não confere com a promoção.";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5242-RECREIO";"detrator";"Embalagem do pão congelado (08 unidades, 480g). O que era ruim, conseguiram piorar. Era transparente, os pães ficavam entulhados e era impossível empilhar na geladeira, de modo plano, economizando espaço, que é diminuto num congelador doméstico. Tinha que abrir a embalagem, tirar um dos pães, e somente aí dava para deixar a embalagem plana  e conseguir empilhar. Pois bem, agora fizeram uma embalagem bege, fica mais difícil manusear os pães para deixar a embalagem plana. Resumindo: ao invés de modificarem a embalagem, para permitir que os pães fiquem planos, e permitir o empilhamento, fizeram uma capa bege que atrapalha ainda mais. Outro ponto: façam um estudo, vejam o quanto de espaço vocês perdem com esssa embalagem atual, já que mais espaço precisa para transportar, e o quanto vocês deixam de expor no congelador da loja. Os pães tem que ser acondicionados numa embalagem que permita ficar 2x 2x 2x 2x ou 4x 4x pães, de modo plano e permitindo empilhar num congelador doméstico. https://loja.swift.com.br/pao-frances-swift-480g/p";"abastecimento";"produto";"produto";""
"L5244-TAGUATINGA SUL";"detrator";"Não devolveram meu pix troco.";"promocoes_fidelidade";"atendimento";"promocoes_fidelidade";""
"L5044-INDAIATUBA (1243)";"detrator";"Gosto muito dos Produtos Swift… mas comprei uma carne preparada para forno direto, que já vem embalada pronta para forno, mas a embalagem abriu logo durante o início o cozimento, mesmo eu tendo seguindo todos os procedimentos da embalagem. A carne ficou muito seca e fez uma sujeira enorme no forno. Melhorem essa embalagem!!!!";"abastecimento";"produto";"produto";""
"L5243-MONTE CASTELO";"promotor";"Sempre compro nessa loja atendimento excelente,e qualidade dos produtos são ótimos não consigo comprar em outro lugar kk";"produto";"atendimento";"produto";""
"L5106-GUILHERMINA (1516)";"promotor";"Neste momento não tenho nada a declarar, está tudo ótimo. Obrigada!";"promocoes_fidelidade";"outros";"outros";""
"L5134-GILBERTO SALOMAO";"neutro";"Moderando melhor os preços, que sempre só aumentam";"loja_fisica";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5153-EMBARE";"promotor";"Já ê muito bom";"produto";"outros";"outros";""
"L5230-LARGO DO MACHADO";"promotor";"Já pedi 2 vezes e foi tudo perfeito. Estou gostando muito da experiência e pretendo fazer minhas compras de ""carnes"" sempre com a Swift.
Seria legal ter um política de descontos ou cupons para clientes que voltam a comprar.";"atendimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5031-PERDIZES (0860)";"detrator";"Colocar telefone para sabermos de tem a mercadoria na loja";"abastecimento";"loja_fisica";"loja_fisica";""
"L5034-D. PEDRO LL (0873)";"neutro";"Faltaram produtos que queríamos e o entregador parou em frente ao prédio com o som no último volume no sábado às 9h da manhã como se todos do prédio quisessem ouvir música Gospel. Lamento  profundamente essa atitude. Pelo volume e pelo estilo de música.";"entrega_logistica";"entrega_logistica";"entrega_logistica";""
"L5070-BORGES LAGOA (1323)";"detrator";"Comprei três itens. Só me entregaram um. 
Ficamos em situação difícil no jantar. 
Não deveriam confirmar a venda sem ter o produto. 
Feliz ano novo ao atendente que receber esta mensagem.";"abastecimento";"entrega_logistica";"entrega_logistica";""
"L5210-CAMPANELLA";"detrator";"Adorava comprar o frango resfriado de vcs, porém comprei da marca Seara e achei extremamente duro e muito diferente do que sempre comprei de outras marcas. O pão de queijo também não gostei, pois parece oco, muito diferente do que eu sempre comprei com vcs. Sinceramente estou decepcionada com a qualidade desses produtos que acabei de citar.";"produto";"produto";"produto";""
"L5040-GUARULHOS (1211)";"detrator";"Carne escura e embalagem rasgada";"abastecimento";"produto";"produto";""
"L5116-ENSEADA";"neutro";"App demorou atualizar meu pedido";"produto";"outros";"outros";""
"L5078-CAMPO BELO 2 (1342)";"promotor";"Podem melhorar, na oferta de produtos como verduras congeladas - além das que já possuem. Grato pela oportunidade de opinar";"outros";"produto";"produto";""
"L5071-BELA VISTA (1326)";"neutro";"Precisa melhorar o site.
Perdi o meu carrinho de compras umas 3 vezes";"loja_fisica";"outros";"outros";""
"L5281-OLIVEIRA FREIRE";"detrator";"Contra filé mais duro que já comi na vida nunca mais volto";"produto";"produto";"produto";""
"L5019-ANGELICA (0684)";"promotor";"Tentei duas vezes inserir o complemento de meu endereço,  qual seja, o número de meu apartamento,  mas o sistema não concluía. Isso precisa melhorar, pois um colaborador de vocês teve que me telefonar para saber esse dado.";"promocoes_fidelidade";"outros";"outros";""
"L5062-ASSUNCAO (1310)";"promotor";"Não encontrei a tulipinha sem tempero";"produto";"abastecimento";"abastecimento";""
"L5161-ITANHAEM";"neutro";"Não encontro os produtos que eu mais gosto.";"outros";"abastecimento";"abastecimento";""
"L5160-GUARATINGUETA";"neutro";"Minha primeira compra na empresa foi motivada principalmente pelo pão italiano. Acabei acrescentando outros itens ao pedido e, depois, solicitei a retirada de alguns produtos.
Quando recebi a compra, o pão italiano que foi o principal motivo da minha compra  simplesmente não veio. E em nenhum momento fui avisada sobre a falta do item. Infelizmente, meu jantar foi prejudicado por essa situação.
Faltou consideração e comunicação com o cliente.
Fiquei extremamente decepcionado e não tem mais confiança com a empresa.";"abastecimento";"abastecimento";"abastecimento";""
"L5023-JOSE BONIFACIO (0813)";"neutro";"A carne moída da Swift não é boa. Precisar melhorar MUITO!
Algumas comidas prontas também não são boas.


";"produto";"produto";"produto";""
"L5252-14 DE DEZEMBRO";"neutro";"Acredito que o time de consultores, precisa repor os estoques com maior rapidez. Sempre chego na loja e vários itens estão em falta.";"abastecimento";"abastecimento";"abastecimento";""
"L5139-SBC RUDGE RAMOS";"neutro";"Atendimento medíocre. 
Atendente nem estava ao par de preços e ofertas";"loja_fisica";"atendimento";"atendimento";""
"L5223-CAMPO LIMPO";"neutro";"No caixa OK, nada surpreendente mas tbm nada que desabone. Mas os demais funcionários que ficam repondo os itens, são uns mal educados. Não tem um pingo de simpatia enquanto o cliente está passando ou precisando pegar algo enquanto eles abastecem determinado local. Parece que é uma obrigação do cliente esperar eles terminarem, quando não custa nada dar um sorriso e perguntar se precisamos de algo daquele espaço…. Isso muda a experiência do cliente!";"abastecimento";"atendimento";"atendimento";""
"L5058-JD. BONFIGLIOLI (1291)";"neutro";"Qualidade dos produtos. Pontos de retirada mais próximo e disponibilidade efetiva do produto anunciado";"abastecimento";"produto";"produto";""
"L5087-ALBERTO ANDALO (1353)";"detrator";"Só não gostei da empanada congelada que comprei nem a de carne nem a de cebola nota 4. Na próxima compro só as carnes de vocês que tem excelente qualidade.";"produto";"produto";"produto";""
"L5186-VILA DAS MERCES";"promotor";"Nem sempre encontro o que fui buscar.tinha comprado um frango da seara que frango de padaria já não tinha.";"abastecimento";"abastecimento";"abastecimento";""
"L5127-SAO ROQUE";"detrator";"O funcionario não deve obrigar o cliente a digitar o CPF para realizar a comprar , sempre acontece na loja de são roque , em outras lojas da rede não acontece";"promocoes_fidelidade";"atendimento";"atendimento";""
"L5035-TREMEMBE (0875)";"detrator";"Faltando muitas mercadorias , cortes carnes bovinas e suínas, preços excessivamente caros e o pior a qualidade caiu demais.";"abastecimento";"abastecimento";"abastecimento";""
"L5002-ALPHAVILLE (0290)";"neutro";"Não entendi o cashback pois não está claro no app! Tbm gostaria de ver mais promoções se possível como antes!";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5002-ALPHAVILLE (0290)";"detrator";"Pelo site adcicionei um produto que estava em falta para entrega a domicilio, mas simplesmente o site nao avisa que nao foi disponibilizado a entrega a domicilio por conta daquele produto/indisponibilidade, ele apenas nao mostra a opcao de entrega a domicilio, e como eu tinha varios produtos no carrinho, fiquei perdido. Foi pelo whatsapp que a atendende me esclareceu isso e avisou qual produto era. Voltei no site, removi ele do carrinho e apareceu a opcao de entrega a domicio. Umas das piores experiencia de usuário e usabilidade que ja vi em ecommerce. Péssimo!";"entrega_logistica";"abastecimento";"entrega_logistica";""
"L5013-GRANJA VIANA (0545)";"promotor";"Equipe muito atenciosa e dedicada, recomendo!";"loja_fisica";"atendimento";"atendimento";""
"L5028-VILA PAULICEIA (0853)";"detrator";"Carne moída estava branca parecia carne de frango moída, aparência de produto velho, comprei também semana passada uma peça de contra filé dura igual pedra carne de boi velho, vergonhoso vender produtos ruins, gostaria de comprar produtos de qualidade e não a marca, ninguém come a marca";"produto";"produto";"produto";""
"L5141-ALTO TAQUARAL";"promotor";"Está tudo  perfeito";"produto";"outros";"outros";""
"L5142-MARILIA";"neutro";"Muitas carnes congeladas do início do ano passado";"abastecimento";"abastecimento";"produto";""
"L5249-SANTA TERESINHA";"promotor";"gosto de tudo";"produto";"outros";"outros";""
"L5235-LOUVEIRA";"neutro";"Pra mim está perfeito ,atendimento maravilhoso ! Parabens";"produto";"atendimento";"atendimento";""
"L5072-SERRA DE JAPI (1330)";"detrator";"Os preços estão muito altos p o meu bolso";"outros";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5005-BROOKLIN (0475)";"neutro";"Comprei diversas coisas, mas o ancho estava com gosto de estragado";"produto";"produto";"produto";""
